person id,score
755ea186_7d3d112e,1
f8b2d16c_7628f3d9,-2
91c7d9cd_3ba611a,-2
ca46db63_4ce480,2
e265ecfe_c1d1b68e,-2
dd9b1feb_2658a86,2
c634d86c_5cfc0de,-3
a8c5b0c3_fb0c523b,-2
6f00dfb2_3a5fbf10,2
7a2542f0_7308f58,2
93c780f2_c48944bf,2
ee291d48_6428c7b6,-2
9efb839f_b8aed31e,-2
7eed166_8a617694,3
a557dcf8_6dc2b503,3
ceed9578_160da1c3,-1
4b3ff2d0_3face84c,-3
32b22313_127be1ad,2
5a8aaca6_5d33ac60,-1
f613a8e6_846b8f83,-2
272df67c_9297b2b1,3
3e2ae3d0_f3d7ff37,-1
43dd03e0_7954dec0,-4
92cc7c4e_e59a2b3a,-3
55d572b2_ccc8efca,-2
c6d6e96c_e787a03,-2
b320ed34_8247e29,2
ccb1e780_997e8e5d,-2
f3dcd936_e7355d32,-3
da582e84_95b8ae8e,-2
f9d021cc_ea98d4ce,-2
786da5df_fd56a443,-2
e7ba44e2_c831e258,-2
c8b405ea_192c6ce0,1
89066de_67650f22,2
5ab4b615_f24a44ed,-2
bc7b3ef_5c386e0c,-2
ca53b1a6_77f746d6,-2
28dc9f4b_6fc6bab8,-1
694d36b5_a4804f20,-4
88de4440_6d3cb3b9,2
a834ac14_9c18db5f,-3
ed57a1d8_36f3ac13,-3
e14efaa8_3d693fa0,-2
fdf8ecc2_1d94b17c,-2
85d4251d_32822f6c,-2
991043fe_be2f5538,-2
c4098202_59ca60c0,-2
58de09cf_8eab16d9,-2
417b0cfa_391d3517,2
897e8f06_720c3fd5,-2
8f488044_f5469fe7,1
a7a4f34c_be27a595,-2
3dbf7a3b_91b887d3,-2
f136a999_ce9eaaca,-2
d86d5ce9_fc272483,-1
433bef44_c4a97ab8,-2
25e8b08e_9e212406,-1
8a0ee44d_24c31637,-1
238d4703_545f3d7c,-2
c01b8f2e_62ff56f5,-2
3945e4e_705859b2,2
893d1485_7e30a83e,2
565c8da4_f5e4e608,-2
59383ff_6451dca3,2
f197f170_82293351,-2
29bab105_84fa6af1,-2
58254f8e_e82dc959,-2
80537544_58333eef,-3
c8dddb62_b96a7c32,-2
3e1880e0_e8b0cbbb,-1
ca416170_a28f4890,-1
374cf009_34670561,2
f47030f4_f5077de8,-2
e34ee3cd_fa709c51,-2
c4482189_f603f518,-2
6f4f4448_bccd31a8,2
c3ec4bd2_e446277,-3
5b037b0_3c4bba83,2
a43df19f_12dc5e01,-2
63120810_cd345cbd,2
6c9a6b64_2f633d36,-3
5a921671_15dc8d95,2
441fedc9_acb5a30f,-2
ba850aa4_635b1b38,-2
37c95a39_aa0f0079,2
8020f99c_a201f0f6,2
88ed2da5_9979969d,-1
8b036eb0_55bf778f,2
18e0dd2f_69f383ae,3
f02e9617_32970165,-2
